Cell ID,RNC ID,RNC Name,Node B Name,Cell Name,Lat0,Lon0,Height [Meters],Azimuth [decimal degrees],Alpha1,Alpha 2,Horizontal Beam Width [decimal degrees],MHz,TA ,SECTOR,R,Lat [Radians],Lon [Radians],Cover,Azimuth [Radians],Cell ID,Lat New,Lon New,Alpha1 [Radians],Alpha2 [Radians],Lat1,Lon1,Lat2,Lon2,IMSI
63048,13,RNC_KOT,ABO_004U,U_ABO_004_B,40.271222,44.629,59,150,117.5,182.5,65,900,296.8,Sector 2,6378000,0.702865418,0.778922992,1200,2.617993878,63048,40.26188602,44.63536229,2.050761871,3.185225885,40.26624367,44.64024576,40.26045224,44.62844429,14680
63049,13,RNC_KOT,ABO_004U,U_ABO_004_C,40.271222,44.629,59,310,277.5,342.5,65,900,378.4,Sector 3,6378000,0.702865418,0.778922992,1200,5.410520681,63049,40.27815076,44.61938402,4.843288674,5.977752688,40.27262823,44.61649711,40.28150301,44.62523585,16868
43051,13,RNC_KOT,ABO_005U,U_ABO_005_1,40.278361,44.626611,55,100,56,144,88,2100,426,Sector 1,6378000,0.702990017,0.778881296,1200,1.745329252,43051,40.27648824,44.63898988,0.977384381,2.513274123,40.28438852,44.63696342,40.26963949,44.63404177,10165
43052,13,RNC_KOT,ABO_005U,U_ABO_005_2,40.278361,44.626611,55,220,176,264,88,2100,318.3,Sector 2,6378000,0.702990017,0.778881296,1200,3.839724354,43052,40.27010267,44.61848804,3.071779484,4.607669225,40.26760724,44.62749436,40.27723333,44.61411779,11076
43053,13,RNC_KOT,ABO_005U,U_ABO_005_3,40.278361,44.626611,17,340,296,384,88,2100,"1,743.20",Sector 3,6378000,0.702990017,0.778881296,1200,5.934119457,43053,40.2884908,44.62235468,5.166174586,6.702064328,40.28308595,44.61537532,40.28820889,44.63167389,18114
43054,13,RNC_KOT,ABO_005U,U_ABO_005_4,40.278361,44.626611,55,100,56,144,88,2100,379.8,Sector 1,6378000,0.702990017,0.778881296,1200,1.745329252,43054,40.27648824,44.63898988,0.977384381,2.513274123,40.28438852,44.63696342,40.26963949,44.63404177,7831
43055,13,RNC_KOT,ABO_005U,U_ABO_005_5,40.278361,44.626611,55,220,176,264,88,2100,322.7,Sector 2,6378000,0.702990017,0.778881296,1200,3.839724354,43055,40.27010267,44.61848804,3.071779484,4.607669225,40.26760724,44.62749436,40.27723333,44.61411779,7945
43056,13,RNC_KOT,ABO_005U,U_ABO_005_6,40.278361,44.626611,17,340,296,384,88,2100,"1,677.30",Sector 3,6378000,0.702990017,0.778881296,1200,5.934119457,43056,40.2884908,44.62235468,5.166174586,6.702064328,40.28308595,44.61537532,40.28820889,44.63167389,13219
43057,13,RNC_KOT,ABO_005U,U_ABO_005_7,40.278361,44.626611,55,100,56,144,88,2100,422.6,Sector 1,6378000,0.702990017,0.778881296,1200,1.745329252,43057,40.27648824,44.63898988,0.977384381,2.513274123,40.28438852,44.63696342,40.26963949,44.63404177,11447
43058,13,RNC_KOT,ABO_005U,U_ABO_005_8,40.278361,44.626611,55,220,176,264,88,2100,338.2,Sector 2,6378000,0.702990017,0.778881296,1200,3.839724354,43058,40.27010267,44.61848804,3.071779484,4.607669225,40.26760724,44.62749436,40.27723333,44.61411779,8942
